0 	1.05478e-19 	0.898894 	-2.11056e-18
5.00501e-05 	1.65739e-06 	0.91437 	-0.071194
0.0001001 	-3.76219e-06 	0.985271 	-0.147255
0.00015015 	9.88525e-05 	1.13488 	-0.219905
0.0002002 	4.59016e-05 	1.25549 	-0.27111
0.00025025 	0.000161641 	1.32219 	-0.311041
0.0003003 	0.000136014 	1.38151 	-0.34002
0.00035035 	0.000117861 	1.43681 	-0.358634
0.0004004 	0.000266188 	1.4869 	-0.371592
0.00045045 	1.67552e-05 	1.53473 	-0.37041
0.000500501 	0.000398063 	1.57144 	-0.356717
0.000550551 	0.000167042 	1.59294 	-0.339324
0.000600601 	0.000133132 	1.59812 	-0.322262
0.000650651 	0.000157473 	1.58788 	-0.317594
0.000700701 	1.27138e-05 	1.56935 	-0.328222
0.000750751 	-3.62472e-05 	1.54639 	-0.351628
0.000800801 	-7.26023e-05 	1.52614 	-0.384634
0.000850851 	-9.63623e-06 	1.50949 	-0.420021
0.000900901 	-9.69626e-05 	1.49347 	-0.461023
0.000950951 	-0.000103806 	1.48377 	-0.503928
0.001001 	-1.78778e-05 	1.47771 	-0.542454
0.00105105 	-5.08301e-05 	1.47092 	-0.582141
0.0011011 	-6.49431e-05 	1.47135 	-0.620704
0.00115115 	-3.92718e-05 	1.46753 	-0.656786
0.0012012 	3.61695e-06 	1.46053 	-0.701436
0.00125125 	4.48896e-06 	1.44738 	-0.72479
0.0013013 	0.000143107 	1.41916 	-0.747845
0.00135135 	6.59639e-05 	1.38501 	-0.752798
0.0014014 	3.27311e-05 	1.34495 	-0.760966
0.00145145 	0.000121939 	1.30639 	-0.767641
0.0015015 	0.000180202 	1.26803 	-0.773758
0.00155155 	9.63132e-05 	1.23203 	-0.777947
0.0016016 	1.06068e-05 	1.19866 	-0.781123
0.00165165 	5.69941e-05 	1.16559 	-0.784726
0.0017017 	0.000234931 	1.1137 	-0.778124
0.00175175 	0.000340678 	1.08025 	-0.77532
0.0018018 	0.000102349 	1.05603 	-0.763472
0.00185185 	3.16519e-05 	1.04056 	-0.767255
0.0019019 	3.39442e-05 	1.01021 	-0.766955
0.00195195 	0.000103214 	0.983206 	-0.764919
0.002002 	0.000171488 	0.955627 	-0.76237
0.00205205 	0.000206906 	0.927732 	-0.759225
0.0021021 	0.000147566 	0.901021 	-0.755505
0.00215215 	9.14532e-05 	0.874818 	-0.75155
0.0022022 	3.89002e-05 	0.84909 	-0.747211
0.00225225 	9.94336e-06 	0.823986 	-0.742489
0.0023023 	5.60824e-05 	0.799448 	-0.737408
0.00235235 	9.88774e-05 	0.775509 	-0.731931
0.0024024 	0.000138668 	0.752153 	-0.726162
0.00245245 	0.0001748 	0.729408 	-0.720024
0.0025025 	0.000208106 	0.707261 	-0.713612
0.00255255 	0.000190813 	0.685728 	-0.706914
0.0026026 	0.000162861 	0.664811 	-0.699977
0.00265265 	0.000137802 	0.644517 	-0.692824
0.0027027 	0.000115865 	0.624847 	-0.685486
0.00275275 	9.701e-05 	0.605794 	-0.677988
0.0028028 	8.08363e-05 	0.587349 	-0.670339
0.00285285 	6.8032e-05 	0.569502 	-0.662572
0.0029029 	5.75949e-05 	0.552245 	-0.654751
0.00295295 	5.02005e-05 	0.535564 	-0.646862
0.003003 	4.5538e-05 	0.519443 	-0.638925
0.00305305 	4.34298e-05 	0.503853 	-0.630968
0.0031031 	4.37906e-05 	0.488785 	-0.623018
0.00315315 	4.66886e-05 	0.474211 	-0.615051
0.0032032 	5.17342e-05 	0.46011 	-0.607109
0.00325325 	5.89424e-05 	0.446509 	-0.599224
0.0033033 	6.8205e-05 	0.433358 	-0.591386
0.00335335 	7.95722e-05 	0.420609 	-0.583583
0.0034034 	9.25637e-05 	0.408294 	-0.575825
0.00345345 	0.000106928 	0.396432 	-0.568155
0.0035035 	0.000124172 	0.38491 	-0.560538
0.00355355 	0.000140817 	0.37375 	-0.552971
0.0036036 	0.000160183 	0.36301 	-0.545578
0.00365365 	0.000146021 	0.352629 	-0.538189
0.0037037 	0.000119185 	0.342498 	-0.530831
0.00375375 	9.0425e-05 	0.332716 	-0.523566
0.0038038 	6.10477e-05 	0.323335 	-0.51648
0.00385385 	3.11341e-05 	0.314223 	-0.509454
0.0039039 	5.54983e-07 	0.305345 	-0.502553
0.00395395 	3.10593e-05 	0.296758 	-0.495636
0.004004 	6.27486e-05 	0.288514 	-0.488902
0.00405405 	9.57985e-05 	0.280493 	-0.482213
0.0041041 	0.000128021 	0.272733 	-0.475659
0.00415415 	0.000115212 	0.26522 	-0.469154
0.0042042 	7.6012e-05 	0.257946 	-0.462745
0.00425425 	3.71627e-05 	0.250894 	-0.45648
0.0043043 	1.71153e-06 	0.244061 	-0.45031
0.00435435 	4.09794e-05 	0.23746 	-0.444208
0.0044044 	8.00587e-05 	0.231091 	-0.438164
0.00445445 	0.000119063 	0.224867 	-0.432209
0.0045045 	8.70767e-05 	0.218851 	-0.42646
0.00455455 	4.41189e-05 	0.213005 	-0.420753
0.0046046 	1.02149e-06 	0.207372 	-0.415107
0.00465465 	4.2074e-05 	0.201949 	-0.409539
0.0047047 	8.37351e-05 	0.196642 	-0.404122
0.00475475 	9.91181e-05 	0.191474 	-0.398816
0.0048048 	5.29212e-05 	0.186519 	-0.3935
0.00485485 	7.13971e-06 	0.181681 	-0.388331
0.0049049 	3.78245e-05 	0.176971 	-0.383298
0.00495495 	8.26369e-05 	0.172413 	-0.378255
0.00500501 	8.14818e-05 	0.168041 	-0.373292
0.00505506 	3.2904e-05 	0.16381 	-0.36845
